,cell_type,tissue
272,CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-6 for 8 hours,blood
273,CD4-positive; alpha-beta T cell female adult 39 years,blood
274,CD4-positive; alpha-beta T cell female adult 39 years treated with 100 ng/mL Interleukin-2 for 4 hours,blood
275,CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-10 for 1 hour,blood
276,CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-12 subunit beta for 1 hour; Interleukin-12 subunit alpha for 1 hour,blood
277,CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-15 for 4 hours,blood
278,CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-17A for 1 hour,blood
279,CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-21 for 1 hour,blood
280,CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-4 for 4 hours,blood
281,CD4-positive; alpha-beta T cell male adult 20 years,bodily fluid
282,CD4-positive; alpha-beta T cell male adult 21 years,bodily fluid
283,CD4-positive; alpha-beta T cell male adult 21 years treated with 7.5 ?g/kg G-CSF for 4 days,blood
284,CD4-positive; alpha-beta T cell male adult 37 years,blood
285,CD4-positive; alpha-beta T cell male adult 37 years treated with 7.5 ?g/kg G-CSF for 4 days,blood
286,CD4-positive; alpha-beta T cell male adult 38 years,blood
287,CD4-positive; alpha-beta T cell male adult 42 years,blood
288,CD4-positive; alpha-beta T cell treated with phorbol 13-acetate 12-myristate ; ionomycin,bodily fluid
289,CD4-positive; CD25-positive; alpha-beta regulatory T cell donor ENCDO194EHQ,bodily fluid
290,CD4-positive; CD25-positive; alpha-beta regulatory T cell donor ENCDO258PRN,bodily fluid
291,CD4-positive; CD25-positive; alpha-beta regulatory T cell donor ENCDO836ICQ,bodily fluid
292,CD4-positive; CD25-positive; alpha-beta regulatory T cell originated from CD4-positive; CD25-positive; alpha-beta regulatory T cell donor ENCDO922TOC,bodily fluid
293,CD4-positive; CD25-positive; alpha-beta regulatory T cell originated from CD4-positive; CD25-positive; alpha-beta regulatory T cell donor ENCDO976NED,bodily fluid
294,CD4-positive naive resting alpha-beta T cell female adult 25 years,blood
295,CD4-positive naive resting alpha-beta T cell male adult 24 years,blood
296,CD4-positive naive resting alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
297,CD4-positive naive resting alpha-beta T cell male adult 42 years treated with 50 U/mL Interleukin-2 for 16 hours,blood
298,CD4-positive naive resting alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
299,CD4-positive naive resting alpha-beta T cell male adult 43 years,bodily fluid
300,CD8-positive; alpha-beta memory T cell donor ENCDO258PRN,bodily fluid
301,CD8-positive; alpha-beta memory T cell donor ENCDO553CCA,bodily fluid
302,CD8-positive; alpha-beta memory T cell donor ENCDO688UWB,bodily fluid
303,CD8-positive; alpha-beta memory T cell donor ENCDO836ICQ,bodily fluid
304,CD8-positive; alpha-beta memory T cell donor ENCDO922CEJ,bodily fluid
305,CD8-positive; alpha-beta memory T cell male adult 24 years,blood
306,CD8-positive; alpha-beta memory T cell male adult 30 years donor ENCDO166AGR,blood
307,CD8-positive; alpha-beta memory T cell male adult 30 years donor ENCDO739OLY,blood
308,CD8-positive; alpha-beta memory T cell originated from CD8-positive; alpha-beta memory T cell donor ENCDO187BUH,bodily fluid
309,CD8-positive; alpha-beta memory T cell originated from CD8-positive; alpha-beta memory T cell donor ENCDO922TOC,bodily fluid
310,CD8-positive; alpha-beta memory T cell originated from CD8-positive; alpha-beta memory T cell donor ENCDO976NED,bodily fluid
311,CD8-positive; alpha-beta T cell,bodily fluid
312,CD8-positive; alpha-beta T cell female adult 33 years donor ENCDO299FMV,blood
313,CD8-positive; alpha-beta T cell female adult 33 years donor ENCDO412QUR,blood
314,CD8-positive; alpha-beta T cell female adult 34 years,blood
315,CD8-positive; alpha-beta T cell male adult 21 years donor ENCDO123NFT,bodily fluid
316,CD8-positive; alpha-beta T cell male adult 21 years donor ENCDO190HXC,bodily fluid
317,CD8-positive; alpha-beta T cell male adult 21 years donor ENCDO781BMZ,blood
318,CD8-positive; alpha-beta T cell male adult 21 years treated with 7.5 ?g/kg G-CSF for 4 days,blood
319,CD8-positive; alpha-beta T cell male adult 28 years,bodily fluid
320,CD8-positive; alpha-beta T cell male adult 37 years,blood
321,CD8-positive; alpha-beta T cell male adult 38 years,blood
322,CD8-positive; alpha-beta T cell male adult 42 years,blood
323,CD8-positive naive resting alpha-beta T cell male adult 24 years,blood
324,CD8-positive naive resting alpha-beta T cell male adult 30 years donor ENCDO166AGR,blood
325,CD8-positive naive resting alpha-beta T cell male adult 30 years donor ENCDO739OLY,blood
326,CD8-positive naive resting alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
327,CD8-positive naive resting alpha-beta T cell male adult 56 years,blood
328,central memory CD4-positive; alpha-beta T cell male adult 38 years,blood
329,central memory CD4-positive; alpha-beta T cell male adult 42 years,blood
330,cerebellar cortex tissue male adult 78 years and male adult 84 years,brain
331,cerebellum tissue male adult 27 years and male adult 35 years,brain
332,cerebellum tissue male adult 53 years,brain
333,chorion tissue,extraembryonic component
334,chorion tissue female embryo 40 weeks,extraembryonic component
335,chorion tissue male embryo 16 weeks,extraembryonic component
336,chorionic villus tissue embryo 16 weeks,extraembryonic component
337,chorionic villus tissue female embryo 40 weeks,extraembryonic component
338,chorionic villus tissue male embryo 16 weeks,extraembryonic component
339,chorionic villus tissue male embryo 38 weeks,extraembryonic component
340,choroid plexus epithelial cell,vasculature
341,cingulate gyrus tissue female adult 75 years,brain
342,cingulate gyrus tissue male adult 81 years,brain
343,CMK,blood
344,COLO829,connective tissue
345,colonic mucosa tissue female adult 56 years,intestine
346,colonic mucosa tissue female adult 73 years,intestine
347,colonic mucosa tissue female child 16 years,large intestine
348,common myeloid progenitor; CD34-positive donor ENCDO908ZKJ,bone marrow
349,common myeloid progenitor; CD34-positive donor ENCDO930ZLO,bone marrow
350,common myeloid progenitor; CD34-positive female,bone element
351,common myeloid progenitor; CD34-positive female adult 27 years,bone element
352,common myeloid progenitor; CD34-positive female adult 33 years,bone element
353,common myeloid progenitor; CD34-positive female adult 50 years,bone element
354,common myeloid progenitor; CD34-positive male,bone element
355,common myeloid progenitor; CD34-positive male adult,bone marrow
356,common myeloid progenitor; CD34-positive male adult 23 years,bone element
357,common myeloid progenitor; CD34-positive male adult 36 years,bone element
358,common myeloid progenitor; CD34-positive male adult 37 years,bone element
359,common myeloid progenitor; CD34-positive male adult 42 years,bone element
360,common myeloid progenitor; CD34-positive male adult 43 years,bone element
361,common myeloid progenitor; CD34-positive male adult 49 years,bone element
362,coronary artery tissue female adult 51 years,heart
363,coronary artery tissue female adult 53 years,vasculature
364,CWRU1,connective tissue
365,D341Med,brain
366,D721Med,brain
367,Daoy,brain
368,dedifferentiated amniotic fluid mesenchymal stem cell male embryo 15 weeks,extraembryonic component
369,dermis blood vessel endothelial cell female adult donor ENCDO239AAA,epithelium
370,dermis blood vessel endothelial cell female adult donor ENCDO240AAA,epithelium
371,dermis blood vessel endothelial cell male newborn donor ENCDO241AAA,epithelium
372,dermis blood vessel endothelial cell male newborn donor ENCDO244AAA,epithelium
373,dermis microvascular lymphatic vessel endothelial cell female,epithelium
374,dermis microvascular lymphatic vessel endothelial cell male,epithelium
375,DND-41,bodily fluid
376,DOHH2,
377,dorsolateral prefrontal cortex tissue female adult 74 years with Alzheimer's disease,brain
378,dorsolateral prefrontal cortex tissue female adult 78 years,brain
379,dorsolateral prefrontal cortex tissue female adult 79 years,brain
380,dorsolateral prefrontal cortex tissue female adult 81 years with Alzheimer's disease,brain
381,dorsolateral prefrontal cortex tissue female adult 81 years with Cognitive impairment,brain
382,dorsolateral prefrontal cortex tissue female adult 82 years,brain
383,dorsolateral prefrontal cortex tissue female adult 83 years,brain
384,dorsolateral prefrontal cortex tissue female adult 83 years with mild cognitive impairment,brain
385,dorsolateral prefrontal cortex tissue female adult 84 years,brain
386,dorsolateral prefrontal cortex tissue female adult 85 years with Alzheimer's disease,brain
387,dorsolateral prefrontal cortex tissue female adult 86 years with Alzheimer's disease,brain
388,dorsolateral prefrontal cortex tissue female adult 86 years with Cognitive impairment,brain
389,dorsolateral prefrontal cortex tissue female adult 87 years donor ENCDO423GGP,brain
390,dorsolateral prefrontal cortex tissue female adult 87 years donor ENCDO640RUC,brain
391,dorsolateral prefrontal cortex tissue female adult 87 years with Cognitive impairment; Alzheimer's disease,brain
392,dorsolateral prefrontal cortex tissue female adult 87 years with mild cognitive impairment,brain
393,dorsolateral prefrontal cortex tissue female adult 88 years,brain
394,dorsolateral prefrontal cortex tissue female adult 88 years with Alzheimer's disease,brain
395,dorsolateral prefrontal cortex tissue female adult 88 years with mild cognitive impairment,brain
396,dorsolateral prefrontal cortex tissue female adult 89 years,brain
397,dorsolateral prefrontal cortex tissue female adult 89 years with Alzheimer's disease donor ENCDO830KFO,brain
398,dorsolateral prefrontal cortex tissue female adult 89 years with Alzheimer's disease donor ENCDO853VGZ,brain
399,dorsolateral prefrontal cortex tissue female adult 90 or above years donor ENCDO006DAA,brain
400,dorsolateral prefrontal cortex tissue female adult 90 or above years donor ENCDO101GPB,brain
401,dorsolateral prefrontal cortex tissue female adult 90 or above years donor ENCDO218FFZ,brain
402,dorsolateral prefrontal cortex tissue female adult 90 or above years donor ENCDO250PFZ,brain
403,dorsolateral prefrontal cortex tissue female adult 90 or above years with Alzheimer's disease donor ENCDO201EUI,brain
404,dorsolateral prefrontal cortex tissue female adult 90 or above years with Alzheimer's disease donor ENCDO637GUS,brain
405,dorsolateral prefrontal cortex tissue female adult 90 or above years with Alzheimer's disease donor ENCDO847KYQ,brain
406,dorsolateral prefrontal cortex tissue female adult 90 or above years with Alzheimer's disease donor ENCDO865EMM,brain
407,dorsolateral prefrontal cortex tissue female adult 90 or above years with Cognitive impairment; Alzheimer's disease,brain
408,dorsolateral prefrontal cortex tissue female adult 90 or above years with Cognitive impairment donor ENCDO359XWR,brain
409,dorsolateral prefrontal cortex tissue female adult 90 or above years with Cognitive impairment donor ENCDO448YMQ,brain
410,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO033BMB,brain
411,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO153NUY,brain
412,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO471EKG,brain
413,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO634UMA,brain
414,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO660TGP,brain
415,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO672KST,brain
416,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO739EFE,brain
417,dorsolateral prefrontal cortex tissue female adult 90 or above years with mild cognitive impairment donor ENCDO915WZE,brain
418,dorsolateral prefrontal cortex tissue male adult 71 years,brain
419,dorsolateral prefrontal cortex tissue male adult 78 years,brain
420,dorsolateral prefrontal cortex tissue male adult 82 years,brain
421,dorsolateral prefrontal cortex tissue male adult 83 years donor ENCDO592ZWW,brain
422,dorsolateral prefrontal cortex tissue male adult 83 years donor ENCDO736YJH,brain
423,dorsolateral prefrontal cortex tissue male adult 84 years,brain
424,dorsolateral prefrontal cortex tissue male adult 86 years,brain
425,dorsolateral prefrontal cortex tissue male adult 87 years,brain
426,dorsolateral prefrontal cortex tissue male adult 87 years with Cognitive impairment; Alzheimer's disease,brain
427,dorsolateral prefrontal cortex tissue male adult 89 years with mild cognitive impairment,brain
428,dorsolateral prefrontal cortex tissue male adult 90 or above years with mild cognitive impairment,brain
429,duodenal mucosa tissue male adult 59 years,intestine
430,duodenal mucosa tissue male adult 76 years,intestine
431,ecto neural progenitor cell originated from H9,ESC derived
432,ectodermal cell originated from HUES64,embryo
433,effector CD4-positive; alpha-beta T cell female adult 25 years,blood
434,effector CD4-positive; alpha-beta T cell male adult 56 years,blood
435,effector memory CD4-positive; alpha-beta T cell,bodily fluid
436,effector memory CD4-positive; alpha-beta T cell female adult 25 years,blood
437,effector memory CD4-positive; alpha-beta T cell male adult 24 years,blood
438,effector memory CD4-positive; alpha-beta T cell male adult 38 years treated with 50 U/mL Interleukin-2 for 16 hours,blood
439,effector memory CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
440,effector memory CD4-positive; alpha-beta T cell male adult 42 years treated with 50 U/mL Interleukin-2 for 16 hours,blood
441,effector memory CD4-positive; alpha-beta T cell male adult 56 years,blood
442,EH,penis
443,EL,penis
444,ELF-1,embryo
445,ELR,penis
446,embryonic facial prominence tissue embryo 53 days and embryo 58 days,embryo
447,endocrine pancreas tissue adult 59 years,pancreas
448,endocrine pancreas tissue male adult 45 years,pancreas
449,endocrine pancreas tissue male adult 46 years,pancreas
450,endodermal cell,embryo
451,endodermal cell originated from endodermal cell,embryo
452,endodermal cell originated from HUES64,embryo
453,endothelial cell of umbilical vein male newborn donor ENCDO342AAA,extraembryonic component
454,endothelial cell of umbilical vein male newborn donor ENCDO551FXN,placenta
455,endothelial cell of umbilical vein newborn,epithelium
456,epidermal melanocyte,epithelium
457,epithelial cell of esophagus,esophagus
458,epithelial cell of prostate,epithelium
459,epithelial cell of prostate male,epithelium
460,epithelial cell of proximal tubule,epithelium
461,esophagus muscularis mucosa tissue female adult 51 years,musculature of body
462,esophagus muscularis mucosa tissue female adult 53 years,esophagus
463,esophagus muscularis mucosa tissue male adult 37 years,esophagus
464,esophagus muscularis mucosa tissue male adult 54 years,esophagus
465,esophagus squamous epithelium tissue female adult 51 years,epithelium
466,esophagus squamous epithelium tissue female adult 53 years,epithelium
467,esophagus squamous epithelium tissue male adult 37 years,esophagus
468,esophagus squamous epithelium tissue male adult 54 years,epithelium
469,esophagus tissue female adult 30 years,esophagus
470,esophagus tissue male adult 34 years,esophagus
471,excitatory neuron,
472,eye tissue embryo 56 days and male embryo 76 days,eye
473,eye tissue female embryo 76 days,eye
474,femur tissue female embryo 98 days,skeleton
475,fibroblast of breast female adult 17 years,breast
476,fibroblast of breast female adult 26 years,breast
477,fibroblast of dermis,skin of body
478,fibroblast of dermis female adult,connective tissue
479,fibroblast of dermis NONE and female adult,skin of body
480,fibroblast of gingiva,mouth
481,fibroblast of lung,lung
482,fibroblast of lung female child 11 years and male adult 45 years donor ENCDO156MSV,lung
483,fibroblast of lung female child 11 years and male adult 45 years donor ENCDO269AAA,lung
484,fibroblast of lung male adult 45 years,lung
485,fibroblast of mammary gland female,connective tissue
486,fibroblast of peridontal ligament male,mouth
487,fibroblast of pulmonary artery,vasculature
488,fibroblast of skin of abdomen male embryo 97 days,connective tissue
489,fibroblast of skin of back male embryo 97 days,connective tissue
490,fibroblast of skin of left quadriceps male embryo 97 days,skin of body
491,fibroblast of skin of right biceps male embryo 97 days,skin of body
492,fibroblast of skin of right quadriceps male embryo 97 days,skin of body
493,fibroblast of skin of scalp male embryo 97 days,skin of body
494,fibroblast of the aortic adventitia female,vasculature
495,fibroblast of the conjunctiva,eye
496,fibroblast of upper back skin male embryo 97 days,connective tissue
497,fibroblast of villous mesenchyme,extraembryonic component
498,forelimb muscle tissue female embryo 108 days,musculature of body
499,foreskin fibroblast male newborn donor ENCDO047TBB,skin of body
500,foreskin fibroblast male newborn donor ENCDO191CQJ,skin of body
501,foreskin fibroblast male newborn donor ENCDO232AAA,skin of body
502,foreskin fibroblast male newborn donor ENCDO666YUN,skin of body
503,foreskin fibroblast male newborn donor ENCDO686OPO,skin of body
504,foreskin keratinocyte male newborn donor ENCDO047TBB,skin of body
505,foreskin keratinocyte male newborn donor ENCDO666YUN,skin of body
506,foreskin keratinocyte male newborn donor ENCDO686OPO,skin of body
507,foreskin melanocyte male newborn donor ENCDO047TBB,penis
508,foreskin melanocyte male newborn donor ENCDO666YUN,penis
509,foreskin melanocyte male newborn donor ENCDO686OPO,penis
510,frontal cortex tissue female adult 67 years and female adult 80 years,brain
511,frontal cortex tissue male adult 27 years and male adult 35 years,brain
512,G401,kidney
513,gamma-delta T cell female adult 33 years treated with 50 U/mL Interleukin-2 for 16 hours,blood
514,gamma-delta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 16 hours; 50 U/mL Interleukin-2 for 16 hours,blood
515,gastrocnemius medialis tissue female adult 51 years,musculature of body
516,gastrocnemius medialis tissue female adult 53 years,musculature of body
517,gastrocnemius medialis tissue male adult 37 years,musculature of body
518,gastrocnemius medialis tissue male adult 54 years,musculature of body
519,gastroesophageal sphincter tissue female adult 51 years,musculature of body
520,gastroesophageal sphincter tissue female adult 53 years,stomach
521,gastroesophageal sphincter tissue male adult 37 years,musculature of body
522,gastroesophageal sphincter tissue male adult 54 years,stomach
523,germinal center tissue,lymphoid tissue
524,germinal matrix tissue male embryo 20 weeks donor ENCDO026HUZ,brain
525,germinal matrix tissue male embryo 20 weeks donor ENCDO463PIS,brain
526,globus pallidus tissue male adult 78 years and male adult 84 years,brain
527,glomerular endothelial cell,epithelium
528,glomerular visceral epithelial cell child 3 years,epithelium
529,GM03348,connective tissue
530,GM03348 genetically modified using transduction,connective tissue
531,GM03348 genetically modified using transduction treated with 3 ?g/mL doxycycline for 10 days,connective tissue
532,GM04503,connective tissue
533,GM04504,connective tissue
534,GM06990,bodily fluid
535,GM08714,bodily fluid
536,GM10248,blood
537,GM10266,blood
538,GM12801,bodily fluid
539,GM12864,bodily fluid
540,GM12865,bodily fluid
541,GM12872,bodily fluid
542,GM12873,bodily fluid
543,GM12874,bodily fluid
544,GM12875,bodily fluid
545,GM12878,bodily fluid
546,GM12891,blood
547,GM12892,blood
548,GM13976,blood
549,GM13977,blood
550,GM18507,lymphoid tissue
551,GM19238,blood
552,GM19239,blood
553,GM19240,blood
554,GM20000,blood
555,GM23248,limb
556,GM23338,skin of body
557,GM23338 originated from GM23248,skin of body
558,H1,embryo
559,H4,epithelium
560,H54,brain
561,H7,embryo
562,H9,embryo
563,H9 G1 phase genetically modified using stable transfection,embryo
564,H9 G1b phase genetically modified using stable transfection,embryo
565,H9 G2 phase genetically modified using stable transfection,embryo
566,H9 genetically modified using stable transfection,embryo
567,H9 originated from H9,embryo
568,H9 S1 phase genetically modified using stable transfection,embryo
569,HAP-1,bone marrow
570,HCEC 1CT,large intestine
571,HCT116,intestine
572,head of caudate nucleus tissue female adult 77 years,brain
573,head of caudate nucleus tissue female adult 78 years,brain
574,head of caudate nucleus tissue female adult 78 years with mild cognitive impairment,brain
575,head of caudate nucleus tissue female adult 81 years with Alzheimer's disease,brain
576,head of caudate nucleus tissue female adult 82 years donor ENCDO165PNJ,brain
577,head of caudate nucleus tissue female adult 82 years donor ENCDO290OPS,brain
578,head of caudate nucleus tissue female adult 82 years donor ENCDO377QXX,brain
579,head of caudate nucleus tissue female adult 83 years,brain
580,head of caudate nucleus tissue female adult 83 years with mild cognitive impairment,brain
581,head of caudate nucleus tissue female adult 86 years with Cognitive impairment,brain
582,head of caudate nucleus tissue female adult 87 years,brain
583,head of caudate nucleus tissue female adult 87 years with Cognitive impairment; Alzheimer's disease,brain
584,head of caudate nucleus tissue female adult 87 years with mild cognitive impairment,brain
585,head of caudate nucleus tissue female adult 88 years,brain
586,head of caudate nucleus tissue female adult 89 years,brain
587,head of caudate nucleus tissue female adult 89 years with Alzheimer's disease donor ENCDO830KFO,brain
588,head of caudate nucleus tissue female adult 89 years with Alzheimer's disease donor ENCDO853VGZ,brain
589,head of caudate nucleus tissue female adult 89 years with mild cognitive impairment,brain
590,head of caudate nucleus tissue female adult 90 or above years donor ENCDO006DAA,brain
591,head of caudate nucleus tissue female adult 90 or above years donor ENCDO081AHA,brain
592,head of caudate nucleus tissue female adult 90 or above years donor ENCDO218FFZ,brain
593,head of caudate nucleus tissue female adult 90 or above years donor ENCDO980GMJ,brain
594,head of caudate nucleus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO470GFA,brain
595,head of caudate nucleus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO473TSU,brain
596,head of caudate nucleus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO597SRH,brain
597,head of caudate nucleus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO658JXQ,brain
598,head of caudate nucleus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO680UUE,brain
599,head of caudate nucleus tissue female adult 90 or above years with Alzheimer's disease donor ENCDO730UYW,brain
600,head of caudate nucleus tissue female adult 90 or above years with Cognitive impairment; Alzheimer's disease,brain
601,head of caudate nucleus tissue female adult 90 or above years with Cognitive impairment donor ENCDO359XWR,brain
602,head of caudate nucleus tissue female adult 90 or above years with Cognitive impairment donor ENCDO448YMQ,brain
603,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO033BMB,brain
604,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO153NUY,brain
605,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO183VJV,brain
606,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO204VNL,brain
607,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO305GYI,brain
608,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO394ZHU,brain
609,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO539ZHT,brain
610,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO557QXE,brain
611,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO634UMA,brain
612,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO660TGP,brain
613,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO672KST,brain
614,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO746DTM,brain
615,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO853KFT,brain
616,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO880FAU,brain
617,head of caudate nucleus tissue female adult 90 or above years with mild cognitive impairment donor ENCDO915WZE,brain
618,head of caudate nucleus tissue male adult 71 years,brain
619,head of caudate nucleus tissue male adult 73 years with Cognitive impairment; Alzheimer's disease,brain
620,head of caudate nucleus tissue male adult 78 years,brain
621,head of caudate nucleus tissue male adult 80 years with Cognitive impairment; Alzheimer's disease,brain
622,head of caudate nucleus tissue male adult 82 years,brain
623,head of caudate nucleus tissue male adult 83 years,brain
624,head of caudate nucleus tissue male adult 84 years with Cognitive impairment; Alzheimer's disease,brain
625,head of caudate nucleus tissue male adult 84 years with mild cognitive impairment,brain
626,head of caudate nucleus tissue male adult 85 years,brain
627,head of caudate nucleus tissue male adult 86 years donor ENCDO022VWV,brain
628,head of caudate nucleus tissue male adult 86 years donor ENCDO666UNK,brain
629,head of caudate nucleus tissue male adult 87 years donor ENCDO123QRW,brain
630,head of caudate nucleus tissue male adult 87 years donor ENCDO203ASI,brain
631,head of caudate nucleus tissue male adult 87 years with Alzheimer's disease,brain
632,head of caudate nucleus tissue male adult 87 years with Cognitive impairment; Alzheimer's disease,brain
633,head of caudate nucleus tissue male adult 89 years with mild cognitive impairment,brain
634,head of caudate nucleus tissue male adult 90 or above years,brain
635,head of caudate nucleus tissue male adult 90 or above years with mild cognitive impairment donor ENCDO283GDX,brain
636,head of caudate nucleus tissue male adult 90 or above years with mild cognitive impairment donor ENCDO877NVF,brain
637,heart left ventricle tissue female adult 46 years,heart
638,heart left ventricle tissue female adult 51 years,heart
639,heart left ventricle tissue female adult 53 years,heart
640,heart left ventricle tissue female adult 56 years,heart
641,heart left ventricle tissue female adult 59 years,heart
642,heart left ventricle tissue female embryo 101 days and female embryo 103 days,heart
643,heart left ventricle tissue female embryo 136 days,heart
644,heart left ventricle tissue male adult 34 years,heart
645,heart left ventricle tissue male adult 40 years,heart
646,heart left ventricle tissue male adult 43 years,heart
647,heart left ventricle tissue male adult 54 years,heart
648,heart left ventricle tissue male adult 69 years,heart
649,heart left ventricle tissue male child 3 years,heart
650,heart right ventricle tissue female adult 46 years,heart
651,heart right ventricle tissue female adult 56 years,heart
652,heart right ventricle tissue female embryo 101 days and female embryo 103 days,heart
653,heart right ventricle tissue male adult 34 years,heart
654,heart right ventricle tissue male adult 40 years,heart
655,heart right ventricle tissue male adult 43 years,heart
656,heart right ventricle tissue male adult 54 years,heart
657,heart right ventricle tissue male adult 55 years,heart
658,heart right ventricle tissue male adult 61 years,heart
659,heart right ventricle tissue male adult 66 years,heart
660,heart right ventricle tissue male adult 69 years,heart
661,heart right ventricle tissue male child 3 years,heart
662,heart tissue embryo 101 days,heart
663,heart tissue embryo 59 days and female embryo 76 days,heart
664,heart tissue embryo 80 days,heart
665,heart tissue embryo 96 days,heart
666,heart tissue female embryo 103 days,heart
667,heart tissue female embryo 105 days,heart
668,heart tissue female embryo 110 days,heart
669,heart tissue female embryo 116 days and female embryo 98 days,heart
670,heart tissue female embryo 117 days,heart
671,heart tissue female embryo 147 days,heart
672,heart tissue female embryo 91 days,heart
673,heart tissue male adult 27 years and male adult 35 years,heart
674,heart tissue male child 3 years,heart
675,heart tissue male embryo 105 days,heart
676,heart tissue male embryo 110 days,heart
677,heart tissue male embryo 120 days,heart
678,heart tissue male embryo 72 days and male embryo 76 days,heart
679,heart tissue male embryo 91 days,heart
680,heart tissue male embryo 96 days,heart
681,HEK293,epithelium
682,HEK293T,epithelium
683,HeLa-S3,epithelium
684,HeLa-S3 G1b phase,epithelium
685,HeLa-S3 treated with interferon alpha for 4 hours,uterus
686,hematopoietic multipotent progenitor cell donor ENCDO116AAA,blood
687,hematopoietic multipotent progenitor cell donor ENCDO579CCQ,blood
688,hematopoietic multipotent progenitor cell donor ENCDO937OUY,blood
689,hematopoietic multipotent progenitor cell treated with erythropoietin for 20 days; hydrocortisone succinate for 20 days; kit ligand for 20 days; interleukin-3 for 20 days,blood
690,hematopoietic multipotent progenitor cell treated with interleukin-3 for 11 days; kit ligand for 11 days; hydrocortisone succinate for 11 days; erythropoietin for 11 days,blood
691,hematopoietic multipotent progenitor cell treated with interleukin-3 for 13 days; kit ligand for 13 days; hydrocortisone succinate for 13 days; erythropoietin for 13 days,blood
692,hematopoietic multipotent progenitor cell treated with interleukin-3 for 15 days; kit ligand for 15 days; hydrocortisone succinate for 15 days; erythropoietin for 15 days,blood
693,hematopoietic multipotent progenitor cell treated with interleukin-3 for 17 days; kit ligand for 17 days; hydrocortisone succinate for 17 days; erythropoietin for 17 days,blood
694,hematopoietic multipotent progenitor cell treated with interleukin-3 for 18 days; kit ligand for 18 days; hydrocortisone succinate for 18 days; erythropoietin for 18 days,blood
695,hematopoietic multipotent progenitor cell treated with interleukin-3 for 4 days; kit ligand for 4 days; hydrocortisone succinate for 4 days; erythropoietin for 4 days,blood
696,hematopoietic multipotent progenitor cell treated with interleukin-3 for 6 days; kit ligand for 6 days; hydrocortisone succinate for 6 days; erythropoietin for 6 days,blood
697,hematopoietic multipotent progenitor cell treated with interleukin-3 for 8 days; kit ligand for 8 days; hydrocortisone succinate for 8 days; erythropoietin for 8 days,blood
698,hepatic stellate cell female adult 59 years,endocrine gland
699,hepatocyte,epithelium
700,hepatocyte originated from H9,epithelium
701,HepG2,endocrine gland
702,HFF-Myc originated from foreskin fibroblast,penis
703,HFFc6,connective tissue
704,hindlimb muscle tissue male embryo 120 days,musculature of body
